ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPA
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,0.00013605442176870748,1.429999948,1.429999948
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,0.00011197581322434354,0.9100000115,
708771,916,103920,30-34,M,20,693,0,0.0,1,0,0.0,,
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.00023479690068091102,1.25,
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.00024195499637067505,1.289999962,1.289999962
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,0.0,,0.0
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,0.00019212295869356388,1.5899999936666667,
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,9.131586156515387e-05,1.269999981,1.269999981
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,0.0004246284501061571,1.5,
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,0.0003157230056830141,1.0533333223333334,
708979,916,103955,30-34,M,31,1224,0,0.0,1,0,0.0,,
709023,916,103962,30-34,M,7,735,0,0.0,1,0,0.0,,
709038,916,103965,30-34,M,16,5117,0,0.0,1,0,0.0,,
709040,916,103965,30-34,M,16,5120,0,0.0,1,0,0.0,,
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,0.000477196809598473,1.4685714585714287,10.28000021
709105,916,103976,30-34,M,28,1241,0,0.0,1,1,0.0,,0.0
709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0,0.0004338394793926247,0.569999993,
709124,916,103979,30-34,M,31,1024,0,0.0,1,1,0.0,,0.0
709179,916,103988,35-39,M,15,4627,1,1.690000057,1,0,0.0002161227577263886,1.690000057,
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,0.00019024065442785123,1.1575000285,4.630000114
709320,916,104012,35-39,M,15,1422,0,0.0,1,1,0.0,,0.0
709323,916,104012,35-39,M,15,7132,2,2.609999895,1,0,0.00028042624789680314,1.3049999475,
709326,916,104013,35-39,M,16,12190,2,3.049999952,1,0,0.00016406890894175554,1.524999976,
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,0.0001640285409661281,1.5299999715,3.059999943
709328,916,104013,35-39,M,16,3332,0,0.0,1,1,0.0,,0.0
709455,916,104034,35-39,M,7,559,0,0.0,1,0,0.0,,
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,0.00026881720430107527,1.4900000095,2.980000019
709614,916,104061,40-44,M,16,19113,4,5.5200001,1,0,0.00020928164076806363,1.380000025,
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,0.00018221574344023323,0.8450000285,1.690000057
709761,916,104085,40-44,M,16,2861,0,0.0,1,0,0.0,,
709899,916,104108,40-44,M,15,1398,0,0.0,1,1,0.0,,0.0
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,0.0002939077129781249,1.2100000211428572,8.470000148
710045,916,104133,45-49,M,16,47224,12,15.82000017,1,0,0.00025410808063696424,1.3183333475,
710088,916,104140,45-49,M,24,2283,1,1.470000029,1,0,0.0004380201489268506,1.470000029,
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,0.00045829514207149406,1.529999971,1.529999971
710477,916,104205,30-34,F,16,2654,0,0.0,1,1,0.0,,0.0
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,0.00024278158328275385,1.2907142635714286,18.06999969
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,0.00032351989647363315,1.610000014,1.610000014
710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0,0.00019944156362185878,1.190000057,
710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0,0.00018075711408356142,1.3171428952857143,
710628,916,104230,30-34,F,18,1473,0,0.0,1,0,0.0,,
710682,916,104239,30-34,F,27,1186,0,0.0,1,0,0.0,,
710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0,0.00018625442354255913,1.50999999,
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,0.0003150173259529274,1.3471428667142857,9.430000067
710867,916,104270,30-34,F,63,1185,0,0.0,1,0,0.0,,
710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0,0.00038405407481373376,1.3920000076,
710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0,0.00039872408293460925,1.220000029,
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,0.00034106412005457026,1.399999976,2.799999952
711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0,0.00035932446999640676,1.600000024,
711623,916,104396,40-44,F,15,3812,1,1.129999995,2,1,0.00026232948583420777,1.129999995,1.129999995
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,0.0003571747477453344,1.43250000475,5.730000019
711785,916,104423,45-49,F,19,292,0,0.0,1,0,0.0,,
711877,916,104438,45-49,F,63,17572,7,9.379999995,1,0,0.00039836102890962894,1.3399999992857143,
712052,916,104467,45-49,F,10,1448,0,0.0,1,1,0.0,,0.0
734209,936,108654,30-34,M,10,1772,0,0.0,1,1,0.0,,0.0
734210,936,108654,30-34,M,10,13329,4,5.629999995,1,1,0.00030009753169780176,1.40749999875,5.629999995
734215,936,108655,30-34,M,15,13659,3,3.840000033,1,0,0.00021963540522732265,1.280000011,
734243,936,108660,30-34,M,21,739,0,0.0,1,1,0.0,,0.0
734266,936,108664,30-34,M,25,605,0,0.0,1,0,0.0,,
734272,936,108665,30-34,M,26,1030,0,0.0,1,0,0.0,,
734290,936,108668,30-34,M,29,5374,1,1.039999962,4,0,0.00018608113137327876,1.039999962,
734313,936,108672,30-34,M,36,790,0,0.0,1,1,0.0,,0.0
734314,936,108672,30-34,M,36,962,0,0.0,1,0,0.0,,
734352,936,108678,35-39,M,10,4423,1,1.460000038,1,1,0.00022609088853719196,1.460000038,1.460000038
734361,936,108680,35-39,M,16,12382,2,2.839999914,1,1,0.00016152479405588758,1.419999957,2.839999914
734381,936,108683,35-39,M,20,2938,1,1.350000024,1,1,0.0003403675970047651,1.350000024,1.350000024
734399,936,108686,35-39,M,23,239,0,0.0,1,0,0.0,,
734418,936,108689,35-39,M,26,591,0,0.0,1,0,0.0,,
734421,936,108690,35-39,M,27,10332,4,5.75,1,0,0.00038714672861014324,1.4375,
734427,936,108691,35-39,M,28,8259,3,3.980000019,1,0,0.0003632401017072285,1.326666673,
734433,936,108692,35-39,M,29,12158,3,4.449999928,1,0,0.0002467511103799967,1.4833333093333334,
734582,936,108716,40-44,M,29,7709,2,1.320000052,2,0,0.0002594370216629913,0.660000026,
734605,936,108720,40-44,M,36,834,0,0.0,1,0,0.0,,
734660,936,108729,45-49,M,18,1299,0,0.0,2,0,0.0,,
734666,936,108730,45-49,M,19,371,0,0.0,1,0,0.0,,
734726,936,108740,45-49,M,29,10466,3,4.090000033,1,0,0.0002866424613032677,1.3633333443333333,
734737,936,108742,45-49,M,31,839,0,0.0,1,0,0.0,,
734785,936,108750,30-34,F,10,5576,1,1.529999971,1,1,0.0001793400286944046,1.529999971,1.529999971
734794,936,108752,30-34,F,16,4010,0,0.0,1,0,0.0,,
734796,936,108752,30-34,F,16,39337,7,10.03000009,1,1,0.00017794951318097466,1.4328571557142857,10.03000009
734800,936,108753,30-34,F,18,1635,0,0.0,1,0,0.0,,
734803,936,108753,30-34,F,18,1631,0,0.0,1,0,0.0,,
734852,936,108761,30-34,F,26,13479,3,4.25,1,0,0.00022256843979523704,1.4166666666666667,
734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3,0.0002279821823155975,1.5607692553846155,6.76333344
734856,936,108762,30-34,F,27,5453,1,1.389999986,1,1,0.00018338529249954154,1.389999986,1.389999986
734866,936,108764,30-34,F,29,11803,3,4.440000057,1,0,0.0002541726679657714,1.480000019,
734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1,0.00023479690068091102,1.570000052,1.570000052
734901,936,108770,30-34,F,64,1554,0,0.0,1,0,0.0,,
734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1,0.00018786398647379298,1.289999962,1.289999962
734925,936,108774,35-39,F,10,5024,1,1.409999967,1,1,0.00019904458598726116,1.409999967,1.409999967
734939,936,108776,35-39,F,16,104648,24,33.33000004,4,2,0.00022934026450577172,1.3887500016666667,16.66500002
734968,936,108781,35-39,F,22,8504,3,3.340000093,1,1,0.0003527751646284102,1.1133333643333334,3.340000093
